task,variety_exposure,word_type,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Spelling,Dialect & Social,Untrained,Correct,80,0.2947916666666667,0.3250402306594012,0.03634060255883161,0.07233416000311593
Spelling,Dialect & Social,Untrained,Dialect Word Match,80,0,0,0,0
Spelling,Dialect & Social,Untrained,Dialect Word Mismatch,80,0,0,0,0
Spelling,Dialect & Social,Untrained,Standard Word Mismatch,80,0.0020833333333333333,0.013092497932392604,0.0014637857686052654,0.002913592690852221
Spelling,Dialect & Social,Untrained,Other Mismatch,80,0.703125,0.3233863298818155,0.036155690830495545,0.07196610241457538
Spelling,Dialect Literacy,Non-contrastive,Correct,80,0.3294642857142857,0.2813327833587717,0.031453961394471756,0.06260754407019666
Spelling,Dialect Literacy,Non-contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect Literacy,Non-contrastive,Dialect Word Mismatch,80,0.0025,0.012745479880489642,0.0014249879709315367,0.0028363676063160813
Spelling,Dialect Literacy,Non-contrastive,Standard Word Mismatch,80,0.07845238095238095,0.09945162365940353,0.011119029548757634,0.022131874702879643
Spelling,Dialect Literacy,Non-contrastive,Other Mismatch,80,0.5895833333333333,0.35079150005659343,0.03921968200278321,0.07806482428759863
Spelling,Dialect Literacy,Contrastive,Correct,80,0.23833333333333334,0.2507429186472832,0.028033910548601243,0.05580010314503596
Spelling,Dialect Literacy,Contrastive,Dialect Word Match,80,0,0,0,0
Spelling,Dialect Literacy,Contrastive,Dialect Word Mismatch,80,0.04083333333333333,0.07232817069211742,0.008086535317789127,0.01609584592332673
Spelling,Dialect Literacy,Contrastive,Standard Word Mismatch,80,0.09083333333333334,0.10778096766198897,0.012050278518645695,0.023985479410769926
Spelling,Dialect Literacy,Contrastive,Other Mismatch,80,0.63,0.33825896586601845,0.03781850208375991,0.07527584542320846
Spelling,Dialect Literacy,Untrained,Correct,80,0.3072916666666667,0.3332261826726186,0.03725581981693689,0.07415585438691781
Spelling,Dialect Literacy,Untrained,Dialect Word Match,80,0,0,0,0
Spelling,Dialect Literacy,Untrained,Dialect Word Mismatch,80,0,0,0,0
Spelling,Dialect Literacy,Untrained,Standard Word Mismatch,80,0,0,0,0
Spelling,Dialect Literacy,Untrained,Other Mismatch,80,0.6927083333333334,0.33322618267261866,0.037255819816936896,0.07415585438691782
